,index,Frame,HitBounce,X_Ball,Y_Ball
721,187,18697,Front_Bounce,572,203
722,216,18701,Back_Hit,779,143
723,217,18701,Back_Hit,779,143
724,188,18702,Front_Bounce,565,214
725,219,18716,Back_Bounce,544,204
726,218,18718,Back_Hit,792,140
727,219,18718,Back_Hit,792,140
728,189,18719,Front_Bounce,540,209
729,220,18726,Back_Bounce,530,201
730,221,18741,Back_Bounce,807,148
731,221,18751,Back_Hit,819,139
732,220,18751,Back_Hit,819,139
733,222,18872,Back_Hit,819,54
734,222,18872,Back_Bounce,819,54
735,190,18891,Front_Bounce,467,363
736,99,18897,Front_Hit,355,376
737,223,18926,Back_Bounce,626,185
738,224,18941,Back_Bounce,661,110
739,223,18942,Back_Hit,1053,100
740,224,18942,Back_Hit,1053,100
741,191,19300,Front_Bounce,739,686
742,100,19306,Front_Hit,704,659
743,192,19398,Front_Bounce,623,680
744,193,19527,Front_Bounce,970,393
745,101,19530,Front_Hit,1082,398
