,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction
140,140,26,16970.0,8.78,6.66,,,,,Nishioka,Bounce,,Cross
141,141,26,16982.0,12.28,-3.92,10.31,-3.92,4.18,23.37,Nishioka,Hit,Back,Cross
142,142,26,17014.0,4.16,18.16,,,,,Nishioka,Bounce,,Cross
143,143,26,17024.0,2.82,22.79,8.56,-3.93,3.93,22.79,Nishioka,Hit,Back,Cross
144,144,26,17047.0,4.42,2.81,,,,,Nishioka,Bounce,,Cross
145,145,26,17060.0,4.61,-3.08,5.45,-3.08,4.87,19.48,Nishioka,Hit,Fore,Cross
146,146,26,17079.0,,,,,,,Nishioka,NoBounce,,
147,147,26,17083.0,8.32,16.79,5.33,-2.66,6.79,16.79,Nishioka,Hit,Fore,Cross
148,148,27,17820.0,2.68,6.55,,,,,Nishioka,Bounce,,Cross
149,149,27,17836.0,-1.25,-3.91,0.34,-3.91,6.62,23.41,Nishioka,Hit,Fore,Cross
150,150,27,17867.0,7.76,17.72,,,,,Nishioka,Bounce,,Cross
151,151,27,17881.0,10.25,-37.45,-14.72,-37.45,-14.72,-37.45,Nishioka,Hit,Fore,Cross
152,152,28,18525.0,5.95,6.46,,,,,Nishioka,Bounce,,Cross
153,153,28,18538.0,6.79,-3.08,7.66,-3.08,4.56,23.21,Nishioka,Hit,Fore,Cross
154,154,28,18591.0,5.83,17.84,,,,,Nishioka,Bounce,,Cross
155,155,28,18621.0,5.62,24.63,5.64,-3.96,4.58,24.63,Nishioka,Hit,Fore,Cross
156,156,28,18642.0,2.01,3.25,,,,,Nishioka,Bounce,,Cross
157,157,28,18659.0,0.61,-4.6,2.04,-4.6,5.42,23.66,Nishioka,Hit,Fore,Cross
158,158,28,18706.0,4.43,21.83,,,,,Nishioka,Bounce,,Cross
159,159,28,18718.0,4.88,24.84,4.94,-3.94,3.82,24.84,Nishioka,Hit,Fore,Cross
160,160,29,22224.0,3.24,6.93,,,,,Nishioka,Bounce,,Cross
161,161,29,22236.0,1.85,-1.22,3.0,-1.22,5.96,23.01,Nishioka,Hit,Fore,Cross
162,162,29,22260.0,4.16,16.2,,,,,Nishioka,Bounce,,Cross
163,163,29,22277.0,4.55,23.61,5.44,-2.93,5.65,23.61,Nishioka,Hit,Back,Cross
164,164,29,22300.0,5.16,4.51,,,,,Nishioka,Bounce,,Cross
165,165,29,22318.0,5.89,-2.07,6.87,-2.07,5.23,25.42,Nishioka,Hit,Fore,Cross
166,166,29,22339.0,7.85,18.5,,,,,Nishioka,Bounce,,Cross
167,167,29,22355.0,9.2,26.17,5.84,-2.34,7.96,26.17,Nishioka,Hit,Fore,Cross
168,168,29,22379.0,2.62,6.64,,,,,Nishioka,Bounce,,Cross
169,169,29,22399.0,0.08,-1.42,1.32,-1.42,6.76,25.31,Nishioka,Hit,Fore,Cross
170,170,29,22425.0,8.93,19.79,,,,,Nishioka,Bounce,,Cross
171,171,29,22438.0,12.43,25.3,2.07,-1.16,10.52,25.3,Nishioka,Hit,Fore,Cross
172,172,30,23379.0,7.4,7.43,,,,,Nakashima,Bounce,,Cross
173,173,30,23391.0,10.23,-0.75,9.03,-0.75,3.8,23.19,Nakashima,Hit,Back,Cross
174,174,30,23419.0,4.59,20.19,,,,,Nakashima,Bounce,,Cross
175,175,30,23430.0,3.95,24.2,7.23,-2.15,4.71,24.2,Nakashima,Hit,Back,Cross
176,176,30,23476.0,3.89,4.99,,,,,Nakashima,Bounce,,Cross
177,177,30,23503.0,4.28,-1.21,5.59,-1.21,5.74,26.73,Nakashima,Hit,Fore,Cross
178,178,30,23522.0,8.13,18.49,,,,,Nakashima,Bounce,,Cross
179,179,30,23537.0,10.53,27.43,5.17,-1.07,8.93,27.43,Nakashima,Hit,Fore,Cross
180,180,30,23569.0,4.96,3.88,,,,,Nakashima,Bounce,,Cross
181,181,30,23584.0,3.83,-0.86,5.32,-0.86,7.57,26.26,Nakashima,Hit,Fore,Cross
182,182,30,23606.0,0.59,22.6,,,,,Nakashima,Bounce,,Cross
183,183,32,24437.0,3.05,6.76,,,,,Nakashima,Bounce,,Cross
184,184,32,24450.0,1.94,-0.65,3.25,-0.65,5.56,24.01,Nakashima,Hit,Fore,Cross
185,185,32,24468.0,6.13,18.66,,,,,Nakashima,Bounce,,Cross
