,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
236,236,205961,206644,1-1,0-2,0-0,0-15,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
237,237,206645,207458,1-1,0-2,0-15,0-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
238,238,207459,208548,1-1,0-2,0-30,0-40,1,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
239,239,208549,212874,1-1,0-2,0-40,0-0,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
240,240,212875,213105,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
241,241,213106,213605,1-1,0-3,0-0,0-15,2,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
242,242,213606,213866,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
243,243,213867,214561,1-1,0-3,0-15,0-30,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
244,244,214562,214782,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
245,245,214783,215462,1-1,0-3,0-30,0-40,2,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
246,246,215463,216424,1-1,0-3,0-40,0-0,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
247,247,216425,217128,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
248,248,217129,218646,1-1,0-4,0-0,0-15,2,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
249,249,218647,219145,1-1,0-4,0-15,15-15,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
250,250,219146,219445,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
251,251,219446,220143,1-1,0-4,15-15,30-15,2,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
252,252,220144,220595,1-1,0-4,30-15,40-15,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
253,253,220596,224333,1-1,0-4,40-15,0-0,1,Nakashima,Nakashima,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
254,254,224334,224583,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
255,255,224584,225709,1-1,1-4,0-0,0-15,2,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
256,256,225710,226282,1-1,1-4,0-15,15-15,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
257,257,226283,226522,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
258,258,226523,227502,1-1,1-4,15-15,15-30,2,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
259,259,227503,228175,1-1,1-4,15-30,30-30,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
260,260,228176,228429,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
261,261,228430,229274,1-1,1-4,30-30,30-40,2,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
262,262,229275,230186,1-1,1-4,30-40,0-0,1,Nishioka,Nishioka,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
263,263,230187,230415,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
264,264,230416,231206,1-1,1-5,0-0,0-15,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
265,265,231207,231735,1-1,1-5,0-15,15-15,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
266,266,231736,232968,1-1,1-5,15-15,30-15,1,Nakashima,Nakashima,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
267,267,232969,233734,1-1,1-5,30-15,30-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
268,268,233735,234799,1-1,1-5,30-30,30-40,1,Nakashima,Nishioka,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
269,269,234800,235345,1-1,1-5,30-40,40-40,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
270,270,235346,235619,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
271,271,235620,236690,1-1,1-5,40-40,40-Ad,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
272,272,236691,237410,1-1,1-5,40-Ad,40-40,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
273,273,237411,237734,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
274,274,237735,238477,1-1,1-5,40-40,40-Ad,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
275,275,238478,239202,1-1,1-5,40-Ad,40-40,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
276,276,239203,239462,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
277,277,239463,240193,1-1,1-5,40-40,40-Ad,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
278,278,240194,240914,1-1,1-5,40-Ad,40-40,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
279,279,240915,241402,1-1,1-5,40-40,Ad-40,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
280,280,241403,244896,1-1,1-5,Ad-40,0-0,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
281,281,244897,245452,1-1,2-5,0-0,15-0,1,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
282,282,245453,246345,1-1,2-5,15-0,15-15,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
283,283,246346,246628,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
284,284,246629,247383,1-1,2-5,15-15,30-15,2,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
285,285,247384,247643,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
286,286,247644,248177,1-1,2-5,30-15,30-30,2,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
287,287,248178,248847,1-1,2-5,30-30,40-30,1,Nishioka,Nakashima,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
288,288,248848,249087,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
289,289,249088,250007,1-1,2-5,40-30,0-0,2,Nishioka,Nakashima,1,0,ダブルフォルト,2,0,0,0,0,0,0,0,0,0,0
290,290,250008,250268,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
291,291,250269,251028,1-1,3-5,0-0,15-0,2,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
292,292,251029,251328,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
293,293,251329,251866,1-1,3-5,15-0,30-0,2,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
294,294,251867,252383,1-1,3-5,30-0,40-0,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
295,295,252384,255678,1-1,3-5,40-0,0-0,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
296,296,255679,255898,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
297,297,255899,256545,1-1,4-5,0-0,0-15,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
298,298,256546,256798,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
299,299,256799,257511,1-1,4-5,0-15,15-15,2,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
300,300,257512,258234,1-1,4-5,15-15,15-30,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
301,301,258235,259361,1-1,4-5,15-30,15-40,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
302,302,259362,259637,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
303,303,259638,260933,1-1,4-5,15-40,30-40,2,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
304,304,260934,262240,1-1,4-5,30-40,0-0,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
305,305,262241,264388,,,,,0,,,2,2,,0,0,0,0,0,0,0,0,0,0,0
