,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,x1,y1,x2,y2,x3,y3,x4,y4,total_rally,pattern,rally,last
117,117,31,31279,-7.305,11.57,-4.585,-12.56,0.734999999999999,11.57,Down,Hit,TEST,TEST,1376.0,107.0,506.0,223.0,293.0,695.0,1222.0,693.0,5,フォルト,1,3
118,118,31,31285,-8.425,-12.71,-4.555,-12.71,0.784999999999999,11.67,Up,Hit,TEST,TEST,1376.0,107.0,504.0,225.0,293.0,695.0,1222.0,692.0,5,フォルト,2,2
119,119,31,31368,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,5,フォルト,3,1
120,120,31,31409,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,5,フォルト,4,0
121,121,32,31538,-0.225000000000001,11.21,-3.805,-12.8,1.005,11.19,Down,Hit,TEST,TEST,1021.25,226.133333333333,507.0,221.0,293.0,695.0,1222.0,692.0,3,ストロークエラー,0,2
122,122,32,31566,-3.005,-12.61,-3.245,-12.46,0.444999999999999,11.16,Up,Hit,TEST,TEST,1021.25,226.133333333333,491.625,223.777777777778,293.0,695.0,1222.0,692.0,3,ストロークエラー,1,1
123,123,32,31597,-0.0950000000000006,11.85,-1.385,-13.16,0.444999999999999,11.83,Down,Hit,TEST,TEST,1023.625,226.133333333333,496.375,223.777777777778,293.0,695.0,1222.0,693.0,3,ストロークエラー,2,0
124,124,33,32267,-1.225,12.0,3.355,-14.56,-1.355,12.0,Down,Hit,TEST,TEST,1021.25,223.777777777778,504.0,224.0,293.0,693.0,1222.0,691.0,2,リターンエラー,0,1
125,125,33,32342,0.355,-13.01,1.655,-13.24,-1.355,11.99,Down,Hit,TEST,TEST,1016.5,223.777777777778,504.0,224.0,293.0,693.0,1222.0,691.0,2,リターンエラー,1,0
126,126,34,32944,1.405,12.29,-4.405,-12.64,1.395,12.29,Down,Hit,TEST,TEST,1377.0,105.0,507.0,221.0,293.0,694.0,1222.0,692.0,5,フォルト,0,4
127,127,34,32995,-2.965,-11.6,-3.365,-11.6,1.185,10.78,Up,Hit,TEST,TEST,1376.0,105.0,504.0,225.0,293.0,694.0,1222.0,692.0,5,フォルト,1,3
128,128,34,33058,6.345,12.01,-4.225,-12.65,0.555,12.01,Down,Hit,TEST,TEST,1377.0,105.0,504.0,225.0,293.0,693.0,1222.0,691.0,5,フォルト,2,2
129,129,34,33184,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,5,フォルト,3,1
130,130,34,33192,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,5,フォルト,4,0
131,131,35,33290,1.165,12.21,-4.355,-12.45,1.515,12.21,Down,Hit,TEST,TEST,1376.0,107.0,505.0,223.0,293.0,694.0,1222.0,692.0,4,ストロークエラー,0,3
132,132,35,33335,-3.465,-11.27,-3.875,-11.27,1.005,11.27,Up,Hit,TEST,TEST,1378.0,105.0,504.0,224.0,293.0,694.0,1221.0,691.0,4,ストロークエラー,1,2
133,133,35,33373,-1.505,12.47,-2.555,-12.02,-0.355,12.41,Up,Hit,TEST,TEST,1021.25,228.488888888889,504.0,224.0,293.0,694.0,1221.0,691.0,4,ストロークエラー,2,1
134,134,35,33416,2.305,-14.96,1.755,-14.46,-0.685000000000001,12.73,Up,Hit,TEST,TEST,1021.25,228.488888888889,504.0,224.0,293.0,694.0,1221.0,691.0,4,ストロークエラー,3,0
135,135,36,34030,-4.545,-45.72,3.525,-14.65,-1.005,11.48,Down,Hit,TEST,TEST,1021.25,228.488888888889,501.125,228.488888888889,293.0,693.0,1222.0,692.0,5,ボレーウィナー,0,4
136,136,36,34054,-4.545,-45.72,4.895,-14.37,-1.145,11.34,Down,Hit,TEST,TEST,1021.25,228.488888888889,501.125,228.488888888889,293.0,693.0,1222.0,692.0,5,ボレーウィナー,1,3
137,137,36,34099,0.425,11.63,2.485,-14.47,-0.325,11.63,Down,Hit,TEST,TEST,1018.875,226.133333333333,494.0,226.133333333333,293.0,693.0,1222.0,692.0,5,ボレーウィナー,2,2
138,138,36,34140,3.775,-16.25,2.975,-16.25,0.495,8.92,Down,Hit,TEST,TEST,1018.875,226.133333333333,494.0,226.133333333333,293.0,693.0,1222.0,692.0,5,ボレーウィナー,3,1
139,139,36,34175,-1.755,3.16,2.425,-15.55,-0.805000000000001,3.1,Down,Hit,TEST,TEST,1021.25,226.133333333333,489.25,223.777777777778,293.0,693.0,1222.0,692.0,5,ボレーウィナー,4,0
140,140,37,34993,1.065,12.17,-3.725,-14.49,0.675,12.18,Down,Hit,TEST,TEST,1018.875,226.133333333333,491.625,223.777777777778,299.25,687.822222222222,1222.0,692.0,3,ストロークウィナー,0,2
141,141,37,35051,-5.835,-11.88,-5.285,-12.97,0.864999999999999,12.09,Down,Hit,TEST,TEST,1018.875,226.133333333333,491.625,223.777777777778,299.25,687.822222222222,1222.0,692.0,3,ストロークウィナー,1,1
142,142,37,35070,0.605,12.23,-5.265,-13.54,1.085,12.24,Down,Hit,TEST,TEST,1018.875,228.488888888889,494.0,228.488888888889,293.0,693.0,1222.0,692.0,3,ストロークウィナー,2,0
143,143,38,36180,-1.095,-12.54,-1.385,-13.05,3.825,14.08,Up,Hit,TEST,TEST,1018.875,226.133333333333,496.375,223.777777777778,293.0,695.0,1219.0,695.0,2,リターンエラー,0,1
144,144,38,36201,4.555,13.14,-1.125,-11.18,4.705,13.14,Down,Hit,TEST,TEST,1023.625,228.488888888889,496.375,223.777777777778,293.0,695.0,1217.0,696.0,2,リターンエラー,1,0
145,145,39,36716,0.654999999999999,-8.21,0.725,-8.21,-4.925,20.28,Up,Hit,TEST,TEST,1387.0,96.0,119.0,101.0,293.0,693.0,1222.0,692.0,5,ストロークウィナー,0,4
146,146,39,36750,-5.125,14.54,0.755,-7.62,-5.705,14.54,Down,Hit,TEST,TEST,1386.0,96.0,119.0,103.0,302.0,689.0,1222.0,691.0,5,ストロークウィナー,1,3
147,147,39,36795,1.425,-7.91,1.935,-7.91,-3.125,16.66,Up,Hit,TEST,TEST,1386.0,96.0,120.0,103.0,295.0,693.0,1222.0,691.0,5,ストロークウィナー,2,2
